Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.9960036108132E-16,-3.60822483003176E-16,0.021885,0,0,0,0.203637727736683,0.00050808641580752,5.84781279963311E-07,4.03236954468357E-20,0.000508086415807519,5.65230254100968E-19,0.00101562979767441,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/base_link.STL,,Base_wo_motor-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L1_link_0,0.084214798523474,-0.0827276003031454,0.0211375094042239,0,0,0,0.0446884221260727,9.8801376366991E-06,2.35322886110248E-06,1.29212643877505E-07,9.88013694575443E-06,-1.29218520254399E-07,1.04070165248013E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_0.STL,,MX28_motor_leg_base-2,Coordinate System1,Axis1,L1_joint_0,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L1_link_1,0.093321430814603,-0.0980034629565249,0.0376442783709511,0,0,0,0.0143930987199218,4.45017505820455E-06,-2.60261208281786E-07,-2.44019667016278E-11,5.98109980794503E-06,1.47489027357684E-10,4.04548154484839E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_1.STL,,Leg_link_1-5,Coordinate System1,Axis2,L1_joint_1,revolute,0,0,0,0,0,0,L1_link_0,0,0,1,0,0,0,0,,,,,,,,
L1_link_2,0.0948831616834602,-0.100107848997551,0.0872899875336169,0,0,0,0.0530689226689727,1.14432805414375E-05,-3.0460385581043E-07,-5.43447913284811E-07,1.38165920927853E-05,2.26560793802478E-06,1.11165453564701E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_2.STL,,Leg_link_2-5,Coordinate System1,Axis3,L1_joint_2,revolute,0,0,0,0,0,0,L1_link_0,0.98659,0.16323,0,0,0,0,0,,,,,,,,
L1_link_3,0.09964,-0.13457,0.14206,0,0,0,0.04929,1.0635E-05,-5.8314E-08,-2.8218E-07,1.0219E-05,2.6053E-06,9.2154E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L1_link_3.STL,,Leg_link_3-5,Coordinate System1,Axis4,L1_joint_3,revolute,0,0,0,0,0,0,L1_link_0,-0.98659,-0.16323,0,0,0,0,0,,,,,,,,
L2_link_0,0.0849331311319015,0.0846303971100376,0.02113751217783,0,0,0,0.0446884312263056,9.88013926214662E-06,-2.35322862036825E-06,1.29219057652482E-07,9.88013956700252E-06,1.29211713274421E-07,1.04070174089237E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_0.STL,,MX28_motor_leg_base-4,Coordinate System1,Axis5,L2_joint_0,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L2_link_1,0.095512,0.099505,0.037644,0,0,0,0.014393,4.6167E-06,5.4306E-07,-5.3802E-11,5.8146E-06,-1.3948E-10,4.0455E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_1.STL,,Leg_link_1-7,Coordinate System1,Axis6,L2_joint_1,revolute,0,0,0,0,0,0,L2_link_0,0,0,1,0,0,0,0,,,,,,,,
L2_link_2,0.0944215149959117,0.100006126072125,0.0883982014874539,0,0,0,0.0530690104418819,1.18432952238239E-05,1.05533131039776E-06,-5.20449008277801E-07,1.39577098992011E-05,-1.84084771338705E-06,1.05755321928943E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_2.STL,,Leg_link_2-7,Coordinate System1,Axis7,L2_joint_2,revolute,0,0,0,0,0,0,L2_link_0,-0.93299,0.3599,0,0,0,0,0,,,,,,,,
L2_link_3,0.10484,0.12444,0.14772,0,0,0,0.04929,1.0621E-05,1.329E-07,-9.573E-07,1.1186E-05,-2.0157E-06,8.2619E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L2_link_3.STL,,Leg_link_3-7,Coordinate System1,Axis8,L2_joint_3,revolute,0,0,0,0,0,0,L2_link_0,0,0,0,0,0,0,0,,,,,,,,
L3_link_0,-0.0838048794418557,0.0855496151247583,0.0211375125846542,0,0,0,0.0446884326781349,9.88014015452116E-06,2.35322879069018E-06,-1.29211847759369E-07,9.88013956343226E-06,1.29219338015956E-07,1.04070178466713E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_link_0.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_link_0.STL,,MX28_motor_leg_base-1,Coordinate System1,Axis9,L3_joint_0,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L3_Link_1,-0.0990977534827557,0.094548723704266,0.0376442783709476,0,0,0,0.0143930987199254,5.98810920129874E-06,-2.38654376242194E-07,1.47821395294798E-10,4.44316566498858E-06,-2.23003197122157E-11,4.04548154483821E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_1.STL,,Leg_link_1-1,Coordinate System1,Axis10,L3_joint_1,revolute,0,0,0,0,0,0,L3_link_0,0,0,1,0,0,0,0,,,,,,,,
L3_Link_2,-0.0999449552055907,0.0934657256711352,0.0881372535548048,0,0,0,0.0530690127944607,1.41756996996713E-05,-4.95264767637539E-07,2.03042039337846E-06,1.14948985188453E-05,-1.29881047680775E-07,1.07059392254039E-05,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_2.STL,,Leg_link_2-1,Coordinate System1,Axis11,L3_joint_2,revolute,0,0,0,0,0,0,L3_link_0,-0.14917,-0.98881,0,0,0,0,0,,,,,,,,
L3_Link_3,-0.130661474032265,0.0990432500970614,0.144602203791244,0,0,0,0.0492896798015562,1.01316120659575E-05,1.98079433364181E-07,2.5929546620332E-06,1.05556829205618E-05,-5.35732275305569E-07,9.38161477281625E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L3_Link_3.STL,,Leg_link_3-1,Coordinate System1,Axis12,L3_joint_3,revolute,0,0,0,0,0,0,L3_link_0,0.14917,0.98881,0,0,0,0,0,,,,,,,,
L4_link_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_0.STL,1,1,1,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_0.STL,,MX28_motor_leg_base-3,Coordinate System1,Axis13,L4_joint_0,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
L4_link_1,-0.0975635725685111,-0.0969493759348551,0.037644278370944,0,0,0,0.0143930987199267,5.27847295449713E-06,8.06052257091395E-07,1.09729774690298E-10,5.15280191184447E-06,1.01527561370375E-10,4.04548154483438E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_1.STL,,Leg_link_1-6,Coordinate System1,Axis14,L4_joint_1,revolute,0,0,0,0,0,0,L4_link_0,0,0,1,0,0,0,0,,,,,,,,
L4_link_2,-0.0897274407149611,-0.0913301513457809,0.0897960063887541,0,0,0,0.0530689168701405,1.33869341774172E-05,1.85193921725595E-06,-5.44950799892615E-07,1.31416270492192E-05,-2.4565136942423E-07,9.84785344409251E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_2.STL,,Leg_link_2-6,Coordinate System1,Axis15,L4_joint_2,revolute,0,0,0,0,0,0,L4_link_0,0.67914,-0.73401,0,0,0,0,0,,,,,,,,
L4_link_3,-0.0859726821022455,-0.0865848131293385,0.154558732884782,0,0,0,0.0492896737099947,1.1571465044029E-05,8.84196609392592E-07,-1.04236013778781E-07,1.14132318184246E-05,-3.56304506326266E-07,7.08420843223687E-06,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Quadruped_assembly_urdf/meshes/L4_link_3.STL,,Leg_link_3-6,Coordinate System1,Axis16,L4_joint_3,revolute,0,0,0,0,0,0,L4_link_0,0,0,0,0,0,0,0,,,,,,,,
